id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-1541683885,,UF 113.000,113000.0,UF,"Teatinos 340, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",34 baños|2.613 m² útiles,https://www.portalinmobiliario.com/MLC-1541683885-edificio-corporativo-en-teatinos-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:10.234745
MLC-1516988505,,UF 11.727,11727.0,UF,"Calle Merced 106 , Detartamento N° 801, Barrio Lastarria, Santiago, RM (Metropolitana)",3 dormitorios|4 baños|80 m² útiles,https://www.portalinmobiliario.com/MLC-1516988505-departamento-en-santiago-hasta-100-de-financiamiento-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:10.546323
MLC-2741896348,,UF 1.800,1800.0,UF,,1 baño|33 m² útiles,https://www.portalinmobiliario.com/MLC-2741896348-depto-oficina-arrendada-atencion-inversionistas-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:10.860214
MLC-1532579439,,UF 9.800,9800.0,UF,,3 baños|186 m² útiles,https://www.portalinmobiliario.com/MLC-1532579439-amplia-oficina-a-pasos-del-metro-uc-dentro-de-condomio-_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:11.102370
MLC-2726088502,,UF 5.900,5900.0,UF,"Estado 268, Santiago, Región Metropolitana, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|141 m² útiles,https://www.portalinmobiliario.com/MLC-2726088502-moderna-y-elegante-oficina-en-huerfanos-con-estado-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:11.568498
MLC-2161565696,,UF 4.746,4746.0,UF,,4 baños|226 m² útiles,https://www.portalinmobiliario.com/MLC-2161565696-oportunidad-teatinos-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:11.868491
MLC-1513448025,,UF 2.050,2050.0,UF,"Agustinas 611, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|49 m² útiles,https://www.portalinmobiliario.com/MLC-1513448025-adm-oportunidad-venta-amplio-departamento-oficina-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:12.179348
MLC-1505773625,,UF 3.300,3300.0,UF,,1 baño|44 m² útiles,https://www.portalinmobiliario.com/MLC-1505773625-nethaus-vende-excelente-oficina-santiago-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:12.471613
MLC-2740149626,,UF 3.900,3900.0,UF,,2 baños|129 m² útiles,https://www.portalinmobiliario.com/MLC-2740149626-oportunidad-oficina-nueva-york-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:12.752971
MLC-2120567746,,UF 2.900,2900.0,UF,"Doctor Sótero Del Río 326, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|78 m² útiles,https://www.portalinmobiliario.com/MLC-2120567746-edificio-ohiggins-4-privados-lado-paseo-huerfanos-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:13.169659
MLC-1505340759,,UF 2.456,2456.0,UF,"Huerfanos/ahumada, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 baño|35 m² útiles,https://www.portalinmobiliario.com/MLC-1505340759-oficina-en-venta-huerfanos-con-ahumada-santiago-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:13.479819
MLC-2747688948,,UF 4.905,4905.0,UF,"Monjitas 527, Oficina 1200 - 1500, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",2 baños|109 m² útiles,https://www.portalinmobiliario.com/MLC-2747688948-excelente-y-amplia-oficina-es-muy-buen-estado-conservacion-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:13.764931
MLC-1532735637,,$ 15.000.000,15000000.0,$,,1 baño|55 m² útiles,https://www.portalinmobiliario.com/MLC-1532735637-se-vende-derecho-a-llave-de-consulta-dental-en-santiago-_JM#position%3D13%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:14.032935
MLC-1532446725,,UF 3.950,3950.0,UF,,3 baños|149 m² útiles,https://www.portalinmobiliario.com/MLC-1532446725-luminosa-oficina-remodelada-en-barrio-paris-londres-_JM#position%3D14%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:14.314439
MLC-1536879135,,UF 11.000,11000.0,UF,"Mac Iver / Agustinas, Metro Santa Lucía, Bellas Ar, 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",360 m² útiles,https://www.portalinmobiliario.com/MLC-1536879135-amplia-oficina-planta-libre-gran-ubicacion-metro-_JM#position%3D15%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:14.969322
MLC-1536857227,,UF 2.660,2660.0,UF,"Ahumada / Alameda / Metro Univ. Chile, 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",48 m² útiles,https://www.portalinmobiliario.com/MLC-1536857227-oportunidad-remodelada-paseo-ahumada-metro-_JM#position%3D16%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:15.265353
MLC-1536805603,,UF 14.000,14000.0,UF,"Agustinas, Pasos Metro Santa Lucía, 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",248 m² útiles,https://www.portalinmobiliario.com/MLC-1536805603-amplia-oficina-en-santiago-_JM#position%3D17%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:15.560819
MLC-1536766559,,UF 1.330,1330.0,UF,"Ahumada / Alameda /metro Univ. Chile, 0, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",24 m² útiles,https://www.portalinmobiliario.com/MLC-1536766559-recien-remodelada-p-ahumada-ideal-profesionales-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:15.899835
MLC-1536858113,,UF 1.330,1330.0,UF,,24 m² útiles,https://www.portalinmobiliario.com/MLC-1536858113-oficina-ejecutiva-en-ubicacion-privilegiada-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:16.196765
MLC-1542187801,,UF 6.058,6058.0,UF,,3 baños|264 m² útiles,https://www.portalinmobiliario.com/MLC-1542187801-liquidacion-oficina-reposeida-por-banco-huerfanos-770-stgo-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:16.461560
MLC-1541735019,,UF 17.000,17000.0,UF,"Paseo Matias Cousiño 52, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",8 baños|471 m² útiles,https://www.portalinmobiliario.com/MLC-1541735019-planta-libre-en-venta-paseo-matias-cousino-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:16.800565
MLC-1535564171,,UF 9.150,9150.0,UF,"Santa Lucía / Huérfanos, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",4 baños|200 m² útiles,https://www.portalinmobiliario.com/MLC-1535564171-oficina-en-venta-en-santiago-centro-metro-santa-lucia-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:17.104552
MLC-1480380487,,UF 15.450,15450.0,UF,"Vergara / Grajales, Ejército - Toesca, Santiago, RM (Metropolitana)",4 baños|350 m² útiles,https://www.portalinmobiliario.com/MLC-1480380487-oficina-en-venta-en-santiago-_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:17.367199
MLC-1521560233,,UF 13.400,13400.0,UF,"Mc Iver Y San Antonio, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",3 baños|222 m² útiles,https://www.portalinmobiliario.com/MLC-1521560233-mc-iver-y-san-antonio-_JM#position%3D24%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:17.695420
MLC-2334899624,,UF 30.000,30000.0,UF,"Fanor Velasco 50, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",14 baños|1.000 m² útiles,https://www.portalinmobiliario.com/MLC-2334899624-1000m2-2-pisos-excelente-oficina-santiago-centro-santiago-_JM#position%3D25%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:18.071248
MLC-1468887503,,UF 24.000,24000.0,UF,"Av Libertador Bernardo O'higgins 900 - 1200, Santiago, Chile, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",4 baños|460 m² útiles,https://www.portalinmobiliario.com/MLC-1468887503-excelente-oficina-en-venta-santiago-_JM#position%3D26%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:18.348810
MLC-2199233028,,UF 11.000,11000.0,UF,,4 baños|400 m² útiles,https://www.portalinmobiliario.com/MLC-2199233028-nethaus-vende-casa-edificio-fanor-velascoalameda-santiago-_JM#position%3D27%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:18.649893
MLC-1442040633,,UF 10.500,10500.0,UF,,4 baños|326 m² útiles,https://www.portalinmobiliario.com/MLC-1442040633-vende-excelente-oficina-mac-iver-moneda-santiago-_JM#position%3D28%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:18.901878
MLC-2749429508,,UF 7.990,7990.0,UF,"Serrano 14, Bulnes, Santiago, RM (Metropolitana)",2 baños|205 m² útiles,https://www.portalinmobiliario.com/MLC-2749429508-bello-departamento-oficina-vintage-linea-roja-metro-_JM#position%3D29%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3Da9cb3881-8c66-4517-a1ef-a31e0d1c2830,2024-10-30T18:37:19.156676
