id_proyecto,titulo,precio_texto,precio_valor,tipo_moneda,ubicacion,caracteristicas,link,fecha_scraping
MLC-2735987756,,$ 98.000.000,98000000.0,$,,8 baños|450 m² útiles,https://www.portalinmobiliario.com/MLC-2735987756-restaurant-patente-de-alchol-derecho-de-llave-_JM#position%3D1%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:20.496987
MLC-2755136546,,UF 18.000,18000.0,UF,"Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",8 baños|600 m² útiles,https://www.portalinmobiliario.com/MLC-2755136546-derechos-de-llaves-discotheque-santiago-_JM#position%3D2%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:20.786618
MLC-2756511422,,UF 2.000,2000.0,UF,"Zenteno 980, San Diego, Santiago, RM (Metropolitana)",1 baño|35 m² útiles,https://www.portalinmobiliario.com/MLC-2756511422-excelente-local-en-condominio-mercado-sur-san-diegozenteno-_JM#position%3D3%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:21.076994
MLC-2161540900,,UF 11.020,11020.0,UF,"Teatinos 1 - 300, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",14 baños|580 m² útiles,https://www.portalinmobiliario.com/MLC-2161540900-teatinos-excelente-local-comercial-interior-piso-1--_JM#position%3D4%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:21.329720
MLC-1541730075,,UF 126.546,126546.0,UF,,6 baños|2.414 m² útiles,https://www.portalinmobiliario.com/MLC-1541730075-local-comercial-en-venta-en-nunoa-_JM#position%3D5%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:21.673566
MLC-1531700731,,UF 97.274,97274.0,UF,,15 baños|2.392 m² útiles,https://www.portalinmobiliario.com/MLC-1531700731-en-venta-reconocido-colegio-de-santiago-metro-cumming-_JM#position%3D6%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:21.998922
MLC-1339191739,,$ 55.000.000,55000000.0,$,,1 baño|34 m² útiles,https://www.portalinmobiliario.com/MLC-1339191739-local-comercial-venta-santiago-paseo-ahumada-huerfanos-_JM#position%3D7%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:22.229412
MLC-2725130528,,UF 7.200,7200.0,UF,"San Diego 250, Bulnes, Santiago, RM (Metropolitana)",1 baño|140 m² útiles,https://www.portalinmobiliario.com/MLC-2725130528-se-vende-local-de-140-m2-san-diego-santiago-_JM#position%3D8%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:22.504471
MLC-1537588999,,$ 190.000.000,190000000.0,$,,2 baños|45 m² útiles,https://www.portalinmobiliario.com/MLC-1537588999-venta-local-agustinas-_JM#position%3D9%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:22.790835
MLC-1420913639,,UF 25.000,25000.0,UF,"Huérfanos Esquina Miraflores, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",5 baños|320 m² útiles,https://www.portalinmobiliario.com/MLC-1420913639-local-a-la-calle-huerfanos-_JM#position%3D10%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:23.091621
MLC-2750785754,,UF 24.000,24000.0,UF,,266 m² útiles,https://www.portalinmobiliario.com/MLC-2750785754-excelente-local-esquina-zona-alta-visibilidad-_JM#position%3D11%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:23.380893
MLC-2653178888,,$ 40.000.000,40000000.0,$,"Moneda 1200 - 1500, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",4 baños|180 m² útiles,https://www.portalinmobiliario.com/MLC-2653178888-cafeteria-almuerzo-moneda-40-millones-_JM#position%3D12%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:23.694499
MLC-1478153135,,$ 45.000.000,45000000.0,$,"Avenida Santa Rosa 300 - 600, Santiago, Chile, Santa Isabel, Santiago, RM (Metropolitana)",3 baños|130 m² útiles,https://www.portalinmobiliario.com/MLC-1478153135-restaurant-alcohol-santiago-45-millones-_JM#position%3D13%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:23.939862
MLC-1501039289,,UF 3.500,3500.0,UF,,1 baño|32 m² útiles,https://www.portalinmobiliario.com/MLC-1501039289-local-en-galeria-paseo-ahumada-_JM#position%3D14%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:24.192497
MLC-2734265798,,UF 21.000,21000.0,UF,,27 baños|428 m² útiles,https://www.portalinmobiliario.com/MLC-2734265798-local-comercial-en-venta-en-santiago-_JM#position%3D15%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:24.467803
MLC-1513441529,,UF 34.000,34000.0,UF,"Moneda 1500 - 1800, Santiago, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",1 dormitorio|1 baño|758 m² útiles,https://www.portalinmobiliario.com/MLC-1513441529-loc-moneda-con-renta-_JM#position%3D16%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:24.735280
MLC-2683417338,,UF 6.290,6290.0,UF,"Santiago 900 - 1200, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",1 baño|230 m² útiles,https://www.portalinmobiliario.com/MLC-2683417338-vende-local-comercia-san-diego-victoria-santiago-_JM#position%3D17%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:25.025785
MLC-2705641440,,UF 24.900,24900.0,UF,,6 baños|680 m² útiles,https://www.portalinmobiliario.com/MLC-2705641440-propiedad-comercial-nataniel-cox-_JM#position%3D18%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:25.282648
MLC-1451480987,,$ 28.000.000,28000000.0,$,,1 baño|35 m² útiles,https://www.portalinmobiliario.com/MLC-1451480987-excelente-local-caracol-san-diego-franklin-_JM#position%3D19%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:25.645280
MLC-1524409783,,UF 3.175,3175.0,UF,,2 baños|93 m² útiles,https://www.portalinmobiliario.com/MLC-1524409783-local-comercial-en-venta-en-santiago-_JM#position%3D20%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:25.915720
MLC-1521965175,,UF 5.100,5100.0,UF,,1 baño|97 m² útiles,https://www.portalinmobiliario.com/MLC-1521965175-local-comercial-en-venta-en-santiago-_JM#position%3D21%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:26.191752
MLC-1537750353,,UF 11.999,11999.0,UF,,2 baños|306 m² útiles,https://www.portalinmobiliario.com/MLC-1537750353-local-comercial-en-venta-en-santiago-_JM#position%3D22%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:26.478765
MLC-1465307741,,$ 120.000.000,120000000.0,$,"(ah) San Antonio Con Merced, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",3 baños|109 m² útiles,https://www.portalinmobiliario.com/MLC-1465307741-excelente-local-comercial-en-venta-en-santiago-_JM#position%3D23%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:26.794425
MLC-2542380588,,UF 41.000,41000.0,UF,"San Diego 900 - 1200, Santiago, Chile, Parque O'Higgins, Santiago, RM (Metropolitana)",12 baños|2.010 m² útiles,https://www.portalinmobiliario.com/MLC-2542380588-edificio-comercial-y-bodega-san-diego-con-matta-_JM#position%3D24%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:27.119687
MLC-1523408637,,UF 79.848,79848.0,UF,,7 baños|3.811 m² útiles,https://www.portalinmobiliario.com/MLC-1523408637-local-comercial-en-venta-en-santiago-_JM#position%3D25%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:27.509225
MLC-1523459775,,UF 30.000,30000.0,UF,"Dieciocho, Parque Almagro, Santiago, RM (Metropolitana)",4 baños|705 m² útiles,https://www.portalinmobiliario.com/MLC-1523459775-local-comercial-en-venta-en-santiago-_JM#position%3D26%26search_layout%3Dgrid%26type%3Ditem%26tracking_id%3D26d3b749-92b5-442f-ad79-8d6384668205,2024-10-30T18:38:27.877101
